cat_nr,gg_ee
1,01.10
1,01.20
1,02.10
1,02.20
1,02.30
1,02.40
1,03.10
1,03.20
1,03.30
1,04.10
1,20.10
1,20.20
1,61.10
1,81.10
1,81.20
1,82.10
1,82.20
1,82.30
1,83.10
1,85.10
1,86.10
1,88.10
2,01.10
2,01.20
2,02.10
2,02.20
2,02.30
2,02.40
2,03.10
2,03.20
2,03.30
2,04.10
2,62.10
2,81.10
2,81.20
2,82.10
2,82.20
2,82.30
2,85.10
2,86.10
3,01.10
3,01.20
3,02.10
3,02.20
3,02.30
3,02.40
3,03.10
3,03.20
3,03.30
3,04.10
3,62.10
3,81.10
3,81.20
3,82.10
3,82.20
3,82.30
3,85.10
3,86.10
4,05.10
4,63.10
4,64.10
4,65.10
4,82.10
4,82.20
4,82.30
4,83.10
4,85.10
4,86.10
4,88.10
5,01.10
5,01.20
5,02.10
5,02.20
5,02.30
5,02.40
5,03.10
5,03.20
5,03.30
5,04.10
5,06.10
5,06.20
5,06.30
5,07.10
5,07.20
5,07.30
5,07.40
5,15.10
5,81.10
5,81.20
5,82.10
5,82.20
5,82.30
5,85.10
5,86.10
6,08.10
6,08.20
6,08.30
6,81.10
6,81.20
6,82.10
6,82.20
6,82.30
6,83.10
6,85.10
6,86.10
6,88.10
7,66.20
7,67.10
7,67.20
7,68.10
7,69.10
7,70.10
7,80.10
7,80.20
7,87.10
7,88.10
8,09.10
8,09.20
8,10.10
8,10.20
8,10.30
8,11.10
8,11.15
8,11.20
8,11.30
8,11.40
8,11.50
8,11.60
8,11.70
8,11.80
8,11.90
8,12.10
8,13.10
8,13.20
8,13.30
8,13.40
8,13.50
8,14.10
8,14.20
8,72.10
8,75.10
8,83.10
8,85.10
8,86.10
8,88.10
9,01.10
9,01.20
9,02.10
9,02.20
9,02.30
9,02.40
9,03.10
9,03.20
9,03.30
9,81.10
9,81.20
9,82.10
9,82.20
9,82.30
9,85.10
9,86.10
9,89.10
10,39.10
10,39.20
10,39.30
10,83.10
10,85.10
10,86.10
11,32.10
11,33.10
11,82.10
11,82.20
11,82.30
11,85.10
11,86.10
12,35.10
12,35.20
12,35.30
12,35.40
12,35.50
12,35.60
12,35.70
12,35.80
12,36.10
12,37.10
12,82.10
12,82.20
12,82.30
12,85.10
12,86.10
13,31.10
13,31.20
13,31.30
13,31.40
13,31.50
13,31.60
13,38.10
13,38.20
13,82.10
13,82.20
13,82.30
14,40.10
14,85.10
15,42.10
16,09.10
16,09.20
16,11.10
16,11.15
16,11.20
16,11.30
16,11.40
16,11.50
16,11.60
16,11.70
16,11.80
16,11.90
16,18.10
16,19.10
16,72.10
16,85.10
16,86.10
17,16.10
17,16.20
17,16.30
17,17.10
17,17.20
17,17.30
19,89.20
19,89.30
21,01.10
21,01.20
21,02.10
21,02.20
21,02.30
21,02.40
21,03.10
21,03.20
21,03.30
